image,x,y,w,h,label,abs_pos
\content\images\10.png,17,415,30,443,𒁹,p_10_line_8_pos_1.png
\content\images\10.png,45,416,82,446,𒈬,p_10_line_8_pos_2.png
\content\images\10.png,97,416,136,444,𒀭,p_10_line_8_pos_3.png
\content\images\10.png,140,413,206,445,𒀫,p_10_line_8_pos_4.png
\content\images\10.png,117,459,161,498,𒁲,p_10_line_9_pos_2.png
\content\images\10.png,37,514,72,547,𒇽,p_10_line_10_pos_1.png
\content\images\10.png,89,517,128,547,𒈬,p_10_line_10_pos_2.png
\content\images\10.png,144,516,196,553,𒆥,p_10_line_10_pos_3.png
\content\images\10.png,199,514,236,543,𒉡,p_10_line_10_pos_4.png
\content\images\10.png,251,516,268,544,𒁹,p_10_line_10_pos_5.png
\content\images\10.png,18,567,41,595,𒀀,p_10_line_11_pos_1.png
\content\images\10.png,52,567,74,604,𒋙,p_10_line_11_pos_2.png
\content\images\10.png,77,567,103,599,𒃻,p_10_line_11_pos_3.png
\content\images\10.png,120,567,135,595,𒁹,p_10_line_11_pos_4.png
\content\images\10.png,152,565,188,597,𒂟,p_10_line_11_pos_5.png
\content\images\10.png,203,564,243,597,𒂊,p_10_line_11_pos_6.png
\content\images\10.png,254,565,280,597,𒀀,p_10_line_11_pos_7.png
\content\images\10.png,304,566,328,595,𒀀,p_10_line_11_pos_8.png
\content\images\10.png,347,565,382,597,𒇽,p_10_line_11_pos_9.png
\content\images\10.png,19,617,31,645,𒁹,p_10_line_12_pos_1.png
\content\images\10.png,41,615,125,647,𒀭+𒈾,p_10_line_12_pos_2.png
\content\images\10.png,137,616,174,647,𒈬,p_10_line_12_pos_3.png
\content\images\10.png,184,616,206,648,𒃻,p_10_line_12_pos_4.png
\content\images\10.png,218,616,262,646,𒌦,p_10_line_12_pos_5.png
\content\images\10.png,288,616,311,647,𒀀,p_10_line_12_pos_6.png
\content\images\10.png,318,616,344,655,𒋙,p_10_line_12_pos_7.png
\content\images\10.png,344,613,369,647,𒃻,p_10_line_12_pos_8.png
\content\images\10.png,378,615,395,646,𒁹,p_10_line_12_pos_9.png
\content\images\10.png,404,614,452,646,𒀊,p_10_line_12_pos_10.png
\content\images\10.png,459,612,505,647,𒆷,p_10_line_12_pos_11.png
\content\images\10.png,508,613,531,645,𒀀,p_10_line_12_pos_12.png
\content\images\10.png,19,668,41,697,𒀀,p_10_line_13_pos_1.png
\content\images\10.png,56,666,93,699,𒇽,p_10_line_13_pos_2.png
\content\images\10.png,114,667,165,700,𒃲,p_10_line_13_pos_3.png
\content\images\10.png,179,667,213,699,𒆕,p_10_line_13_pos_4.png
\content\images\10.png,237,669,253,697,𒁹,p_10_line_13_pos_5.png
\content\images\10.png,267,666,316,701,𒋫,p_10_line_13_pos_6.png
\content\images\10.png,327,660,385,701,𒆧,p_10_line_13_pos_7.png
\content\images\10.png,398,667,437,697,𒀭,p_10_line_13_pos_8.png
\content\images\10.png,451,668,480,696,𒈨,p_10_line_13_pos_9.png
\content\images\10.png,492,667,524,697,𒈨,p_10_line_13_pos_10.png
\content\images\10.png,19,720,42,748,𒀀,p_10_line_14_pos_1.png
\content\images\10.png,48,719,71,756,𒋙,p_10_line_14_pos_2.png
\content\images\10.png,73,718,96,751,𒃻,p_10_line_14_pos_3.png
\content\images\10.png,106,718,123,748,𒁹,p_10_line_14_pos_4.png
\content\images\10.png,144,717,190,750,𒀴,p_10_line_14_pos_5.png
\content\images\10.png,335,718,358,749,𒀀,p_10_line_14_pos_9.png
\content\images\10.png,369,717,386,748,𒁹,p_10_line_14_pos_10.png
\content\images\10.png,402,715,468,757,𒀭+𒂗,p_10_line_14_pos_11.png
\content\images\10.png,476,717,515,748,𒂊,p_10_line_14_pos_12.png
\content\images\10.png,526,719,580,751,𒋛𒀀,p_10_line_14_pos_13.png
\content\images\10.png,18,766,33,797,𒁹,p_10_line_15_pos_1.png
\content\images\10.png,44,768,70,799,𒀀,p_10_line_15_pos_2.png
\content\images\10.png,75,767,118,798,𒈾,p_10_line_15_pos_3.png
\content\images\10.png,128,767,192,805,𒀭+𒂗,p_10_line_15_pos_4.png
\content\images\10.png,203,768,245,798,𒌑,p_10_line_15_pos_5.png
\content\images\10.png,264,769,304,798,𒉺,p_10_line_15_pos_6.png
\content\images\10.png,311,766,347,799,𒋡,p_10_line_15_pos_7.png
\content\images\10.png,380,766,415,798,𒇽,p_10_line_15_pos_8.png
\content\images\10.png,429,769,484,804,𒋃,p_10_line_15_pos_9.png
\content\images\10.png,18,815,39,847,𒀀,p_10_line_16_pos_1.png
\content\images\10.png,46,816,70,855,𒋙,p_10_line_16_pos_2.png
\content\images\10.png,73,816,94,849,𒃻,p_10_line_16_pos_3.png
\content\images\10.png,108,816,125,845,𒁹,p_10_line_16_pos_4.png
\content\images\10.png,140,816,168,850,𒃻,p_10_line_16_pos_5.png
\content\images\10.png,183,815,230,847,𒁺,p_10_line_16_pos_6.png
\content\images\10.png,245,817,275,848,𒀀,p_10_line_16_pos_7.png
\content\images\10.png,286,816,304,848,𒁹,p_10_line_16_pos_8.png
\content\images\10.png,15,868,45,900,𒁷,p_10_line_17_pos_1.png
\content\images\10.png,57,867,120,902,𒌁,p_10_line_17_pos_2.png
\content\images\10.png,131,859,175,905,𒆠,p_10_line_17_pos_3.png
\content\images\10.png,209,866,263,900,𒌗,p_10_line_17_pos_4.png
\content\images\10.png,53,920,89,952,𒈬,p_10_line_18_pos_1.png
\content\images\10.png,112,917,173,949,𒊕,p_10_line_18_pos_2.png
\content\images\10.png,194,918,256,950,𒉆,p_10_line_18_pos_3.png
\content\images\10.png,275,917,325,951,𒈗,p_10_line_18_pos_4.png
\content\images\10.png,64,969,78,997,𒁹,p_10_line_19_pos_1.png
\content\images\10.png,99,968,142,1001,𒆪,p_10_line_19_pos_2.png
\content\images\10.png,122,1018,169,1049,𒈗,p_10_line_20_pos_1.png
\content\images\10.png,200,1018,229,1048,𒆳,p_10_line_20_pos_2.png
\content\images\10.png,253,1017,284,1051,𒆳,p_10_line_20_pos_3.png
\content\images\10.png,307,1018,348,1048,𒈨𒌍,p_10_line_20_pos_4.png
\content\images\100.png,42,17,70,45,𒈫,p_100_line_1_pos_1.png
\content\images\100.png,80,19,116,49,𒈠,p_100_line_1_pos_2.png
\content\images\100.png,127,16,167,46,𒈾,p_100_line_1_pos_3.png
\content\images\100.png,95,65,132,93,𒈠,p_100_line_2_pos_2.png
\content\images\100.png,141,65,184,93,𒈾,p_100_line_2_pos_3.png
\content\images\100.png,39,115,61,144,𒃻,p_100_line_3_pos_1.png
\content\images\100.png,79,113,111,143,𒇽,p_100_line_3_pos_2.png
\content\images\100.png,123,113,213,147,𒋆,p_100_line_3_pos_3.png
\content\images\100.png,229,116,273,145,𒌑,p_100_line_3_pos_4.png
\content\images\100.png,293,115,356,147,𒌅,p_100_line_3_pos_5.png
\content\images\100.png,1,203,16,223,𒁹,p_100_line_5_pos_1.png
\content\images\100.png,40,228,63,255,𒀀,p_100_line_6_pos_1.png
\content\images\100.png,69,228,92,260,𒋙,p_100_line_6_pos_2.png
\content\images\100.png,93,229,114,257,𒃻,p_100_line_6_pos_3.png
\content\images\100.png,122,229,139,256,𒁹,p_100_line_6_pos_4.png
\content\images\100.png,155,228,195,256,𒀭,p_100_line_6_pos_5.png
\content\images\102.png,183,14,200,43,𒁹,p_102_line_1_pos_1.png
\content\images\102.png,208,13,246,42,𒀭,p_102_line_1_pos_2.png
\content\images\102.png,248,10,278,43,𒌓,p_102_line_1_pos_3.png
\content\images\102.png,297,12,337,43,𒈬,p_102_line_1_pos_4.png
\content\images\102.png,346,15,371,43,𒀀,p_102_line_1_pos_5.png
\content\images\102.png,375,14,425,50,𒋙,p_102_line_1_pos_6.png
\content\images\102.png,151,66,176,97,𒀀,p_102_line_2_pos_1.png
\content\images\102.png,183,66,200,94,𒁹,p_102_line_2_pos_2.png
\content\images\102.png,211,66,250,92,𒀭,p_102_line_2_pos_3.png
\content\images\102.png,250,67,291,94,𒌍,p_102_line_2_pos_4.png
\content\images\102.png,299,67,327,98,𒃻,p_102_line_2_pos_5.png
\content\images\102.png,340,64,384,96,𒁺,p_102_line_2_pos_6.png
\content\images\102.png,396,60,431,92,𒉡,p_102_line_2_pos_7.png
\content\images\102.png,9,123,31,138,𒀸,p_102_line_3_pos_1.png
\content\images\102.png,36,115,89,147,𒋗,p_102_line_3_pos_2.png
\content\images\102.png,10,168,35,198,𒀀,p_102_line_4_pos_1.png
\content\images\102.png,42,167,66,204,𒋙,p_102_line_4_pos_2.png
\content\images\102.png,64,167,87,200,𒃻,p_102_line_4_pos_3.png
\content\images\102.png,92,167,111,197,𒁹,p_102_line_4_pos_4.png
\content\images\102.png,128,165,168,197,𒁀,p_102_line_4_pos_5.png
\content\images\102.png,175,166,201,199,𒃻,p_102_line_4_pos_6.png
\content\images\102.png,207,166,234,198,𒀀,p_102_line_4_pos_7.png
\content\images\102.png,256,166,285,198,𒀀,p_102_line_4_pos_8.png
\content\images\102.png,295,166,314,195,𒁹,p_102_line_4_pos_9.png
\content\images\102.png,326,164,365,197,𒂟,p_102_line_4_pos_10.png
\content\images\102.png,372,165,414,195,𒀭,p_102_line_4_pos_11.png
\content\images\102.png,416,166,454,194,𒌍,p_102_line_4_pos_12.png
\content\images\102.png,40,214,77,243,𒌑,p_102_line_5_pos_2.png
\content\images\102.png,112,212,164,248,𒊏,p_102_line_5_pos_3.png
\content\images\102.png,181,216,219,248,𒅆,p_102_line_5_pos_4.png
\content\images\102.png,226,215,252,251,𒋙,p_102_line_5_pos_5.png
\content\images\102.png,293,213,333,244,𒈠,p_102_line_5_pos_6.png
\content\images\102.png,367,212,446,244,𒆟,p_102_line_5_pos_7.png
\content\images\102.png,24,312,59,345,𒇽,p_102_line_7_pos_1.png
\content\images\102.png,71,313,112,344,𒈬,p_102_line_7_pos_2.png
\content\images\102.png,122,311,176,352,𒆥,p_102_line_7_pos_3.png
\content\images\102.png,178,309,218,342,𒉡,p_102_line_7_pos_4.png
\content\images\102.png,233,315,249,342,𒁹,p_102_line_7_pos_5.png
\content\images\102.png,263,307,304,348,𒆠,p_102_line_7_pos_6.png
\content\images\102.png,316,312,399,344,𒀭+𒈾,p_102_line_7_pos_7.png
\content\images\102.png,402,312,434,345,𒁷,p_102_line_7_pos_8.png
\content\images\102.png,445,314,471,345,𒀀,p_102_line_7_pos_9.png
\content\images\102.png,474,313,515,353,𒋙,p_102_line_7_pos_10.png
\content\images\102.png,10,363,25,392,𒁹,p_102_line_8_pos_1.png
\content\images\102.png,78,363,134,395,𒆷,p_102_line_8_pos_3.png
\content\images\102.png,143,362,170,396,𒀀,p_102_line_8_pos_4.png
\content\images\102.png,183,365,210,393,𒁹,p_102_line_8_pos_5.png
\content\images\102.png,8,415,20,440,𒁹,p_102_line_9_pos_1.png
\content\images\102.png,33,413,116,447,𒀭+𒈾,p_102_line_9_pos_2.png
\content\images\102.png,112,464,150,493,𒈬,p_102_line_10_pos_2.png
\content\images\102.png,181,464,211,495,𒀀,p_102_line_10_pos_3.png
\content\images\102.png,217,464,244,503,𒋙,p_102_line_10_pos_4.png
\content\images\102.png,244,464,268,498,𒃻,p_102_line_10_pos_5.png
\content\images\102.png,275,463,292,493,𒁹,p_102_line_10_pos_6.png
\content\images\102.png,314,460,349,493,𒆕,p_102_line_10_pos_7.png
\content\images\102.png,374,462,424,493,𒆰,p_102_line_10_pos_8.png
\content\images\102.png,5,510,44,542,𒂊,p_102_line_11_pos_1.png
\content\images\102.png,55,504,97,546,𒆠,p_102_line_11_pos_2.png
\content\images\102.png,139,511,190,543,𒌗,p_102_line_11_pos_3.png
\content\images\102.png,220,510,284,544,𒁇,p_102_line_11_pos_4.png
\content\images\102.png,302,511,335,540,𒌓,p_102_line_11_pos_5.png
\content\images\102.png,414,511,458,544,𒄰,p_102_line_11_pos_7.png
\content\images\102.png,7,560,49,590,𒈬,p_102_line_12_pos_1.png
\content\images\102.png,112,559,154,592,𒄰,p_102_line_12_pos_3.png
\content\images\102.png,184,562,202,588,𒁹,p_102_line_12_pos_4.png
\content\images\102.png,215,561,260,593,𒆪,p_102_line_12_pos_5.png
\content\images\102.png,282,560,343,592,𒊏,p_102_line_12_pos_6.png
\content\images\102.png,369,560,411,591,𒀾,p_102_line_12_pos_7.png
\content\images\102.png,107,609,158,641,𒈗,p_102_line_13_pos_1.png
\content\images\102.png,184,612,214,645,𒆳,p_102_line_13_pos_2.png
\content\images\102.png,230,610,264,643,𒆳,p_102_line_13_pos_3.png
\content\images\102.png,280,610,323,640,𒈨𒌍,p_102_line_13_pos_4.png
\content\images\103.png,3,66,37,95,𒇽,p_103_line_2_pos_1.png
\content\images\103.png,56,66,110,98,𒌝,p_103_line_2_pos_2.png
\content\images\103.png,121,69,152,95,𒌋𒌋,p_103_line_2_pos_3.png
\content\images\103.png,164,63,199,93,𒉡,p_103_line_2_pos_4.png
\content\images\103.png,217,67,242,98,𒃻,p_103_line_2_pos_5.png
\content\images\103.png,259,65,305,99,𒋫,p_103_line_2_pos_6.png
\content\images\103.png,315,66,346,98,𒁷,p_103_line_2_pos_7.png
\content\images\103.png,355,65,414,98,𒌁,p_103_line_2_pos_8.png
\content\images\103.png,416,62,454,98,𒆠,p_103_line_2_pos_9.png
\content\images\103.png,25,173,87,205,𒅋,p_103_line_3_pos_1.png
\content\images\103.png,100,172,176,202,𒇷,p_103_line_3_pos_2.png
\content\images\103.png,191,172,236,204,𒆪,p_103_line_3_pos_3.png
\content\images\103.png,314,171,353,202,𒄿,p_103_line_3_pos_5.png
\content\images\103.png,363,169,400,202,𒁷,p_103_line_3_pos_6.png
\content\images\103.png,22,221,73,253,𒌗,p_103_line_4_pos_1.png
\content\images\103.png,92,221,140,251,𒄞,p_103_line_4_pos_2.png
\content\images\103.png,168,219,203,249,𒌓,p_103_line_4_pos_3.png
\content\images\103.png,219,218,254,251,𒐉,p_103_line_4_pos_4.png
\content\images\103.png,265,218,308,251,𒄰,p_103_line_4_pos_5.png
\content\images\103.png,328,218,369,248,𒈬,p_103_line_4_pos_6.png
\content\images\103.png,374,219,416,246,𒐈,p_103_line_4_pos_7.png
\content\images\103.png,422,217,465,250,𒄰,p_103_line_4_pos_8.png
\content\images\103.png,22,272,38,301,𒁹,p_103_line_5_pos_1.png
\content\images\103.png,111,270,164,303,𒊏,p_103_line_5_pos_3.png
\content\images\103.png,182,270,220,300,𒀾,p_103_line_5_pos_4.png
\content\images\103.png,255,268,307,302,𒈗,p_103_line_5_pos_5.png
\content\images\103.png,318,269,352,303,𒁷,p_103_line_5_pos_6.png
\content\images\103.png,361,269,428,303,𒌁,p_103_line_5_pos_7.png
\content\images\103.png,437,263,480,305,𒆠,p_103_line_5_pos_8.png
\content\images\103.png,130,319,182,353,𒈗,p_103_line_6_pos_1.png
\content\images\103.png,211,323,242,355,𒆳,p_103_line_6_pos_2.png
\content\images\103.png,261,322,295,353,𒆳,p_103_line_6_pos_3.png
\content\images\105.png,25,12,63,40,𒐈,p_105_line_1_pos_1.png
\content\images\105.png,82,11,126,43,𒄞,p_105_line_1_pos_2.png
\content\images\105.png,138,11,179,39,𒈨𒌍,p_105_line_1_pos_3.png
\content\images\105.png,252,12,293,43,𒄿,p_105_line_1_pos_5.png
\content\images\105.png,317,12,344,42,𒀀,p_105_line_1_pos_6.png
\content\images\105.png,350,11,395,42,𒈾,p_105_line_1_pos_7.png
\content\images\105.png,23,64,62,99,𒑛,p_105_line_2_pos_1.png
\content\images\105.png,83,63,123,95,𒈠,p_105_line_2_pos_2.png
\content\images\105.png,135,63,178,92,𒈾,p_105_line_2_pos_3.png
\content\images\105.png,207,63,238,97,𒐊,p_105_line_2_pos_4.png
\content\images\105.png,254,64,310,96,𒂆,p_105_line_2_pos_5.png
\content\images\105.png,327,63,387,96,𒆬,p_105_line_2_pos_6.png
\content\images\105.png,26,110,45,140,𒁹,p_105_line_3_pos_1.png
\content\images\105.png,63,110,89,142,𒀀,p_105_line_3_pos_2.png
\content\images\105.png,95,112,122,144,𒀀,p_105_line_3_pos_3.png
\content\images\105.png,160,112,185,145,𒀀,p_105_line_3_pos_4.png
\content\images\105.png,198,112,217,144,𒁹,p_105_line_3_pos_5.png
\content\images\105.png,231,105,276,147,𒆠,p_105_line_3_pos_6.png
\content\images\105.png,292,111,335,141,𒈾,p_105_line_3_pos_7.png
\content\images\105.png,351,110,379,142,𒀀,p_105_line_3_pos_8.png
\content\images\105.png,24,170,47,186,𒀸,p_105_line_4_pos_1.png
\content\images\105.png,56,160,113,195,𒆬,p_105_line_4_pos_2.png
\content\images\105.png,23,210,71,243,𒌗,p_105_line_5_pos_1.png
\content\images\105.png,98,212,144,244,𒄞,p_105_line_5_pos_2.png
\content\images\105.png,192,209,223,242,𒌓,p_105_line_5_pos_3.png
\content\images\105.png,240,212,261,240,𒌋,p_105_line_5_pos_4.png
\content\images\105.png,274,212,317,245,𒄰,p_105_line_5_pos_5.png
\content\images\105.png,67,261,109,293,𒈬,p_105_line_6_pos_1.png
\content\images\105.png,120,263,162,292,𒐈,p_105_line_6_pos_2.png
\content\images\105.png,171,263,216,297,𒄰,p_105_line_6_pos_3.png
\content\images\105.png,243,262,261,292,𒁹,p_105_line_6_pos_4.png
\content\images\105.png,278,262,323,297,𒆪,p_105_line_6_pos_5.png
\content\images\105.png,337,260,379,292,𒆜,p_105_line_6_pos_6.png
\content\images\105.png,105,309,156,340,𒈗,p_105_line_7_pos_1.png
\content\images\105.png,176,308,216,343,𒂊,p_105_line_7_pos_2.png
\content\images\105.png,232,302,275,345,𒆠,p_105_line_7_pos_3.png
\content\images\105.png,110,357,161,390,𒈗,p_105_line_8_pos_1.png
\content\images\105.png,188,360,220,392,𒆳,p_105_line_8_pos_2.png
\content\images\105.png,249,359,283,392,𒆳,p_105_line_8_pos_3.png
\content\images\106.png,72,9,115,49,𒆠,p_106_line_1_pos_2.png
\content\images\106.png,125,17,163,51,𒈨,p_106_line_1_pos_3.png
\content\images\106.png,194,17,232,48,𒉻,p_106_line_1_pos_4.png
\content\images\106.png,236,16,291,49,𒄭𒀀,p_106_line_1_pos_5.png
\content\images\106.png,19,67,56,99,𒇽,p_106_line_2_pos_1.png
\content\images\106.png,72,68,124,100,𒌝,p_106_line_2_pos_2.png
\content\images\106.png,137,66,176,99,𒈠,p_106_line_2_pos_3.png
\content\images\106.png,188,63,224,97,𒉡,p_106_line_2_pos_4.png
\content\images\106.png,249,66,302,99,𒌗,p_106_line_2_pos_5.png
\content\images\106.png,313,66,358,97,𒄞,p_106_line_2_pos_6.png
\content\images\106.png,19,114,53,146,𒌓,p_106_line_3_pos_1.png
\content\images\106.png,65,118,97,145,𒌋𒌋,p_106_line_3_pos_2.png
\content\images\106.png,113,116,154,149,𒄰,p_106_line_3_pos_3.png
\content\images\106.png,191,114,231,148,𒈬,p_106_line_3_pos_4.png
\content\images\106.png,258,116,297,148,𒐈,p_106_line_3_pos_5.png
\content\images\106.png,312,116,356,151,𒄰,p_106_line_3_pos_6.png
\content\images\106.png,7,210,23,231,𒁹,p_106_line_4_pos_1.png
